date,Average prices across India,value
10-01-2010,Maximum Price,1685.140625
10-01-2010,Minimum price,925.71875
10-01-2010,Modal price,1400.234375
11-01-2010,Maximum Price,2386.746479
11-01-2010,Minimum price,1126.633803
11-01-2010,Modal price,1803.746479
12-01-2010,Maximum Price,3329.893939
12-01-2010,Minimum price,1340.69697
12-01-2010,Modal price,2403.606061
01-01-2011,Maximum Price,3414.859375
01-01-2011,Minimum price,1477.890625
01-01-2011,Modal price,2565.171875
02-01-2011,Maximum Price,1248.84375
02-01-2011,Minimum price,693.40625
02-01-2011,Modal price,1023.078125
03-01-2011,Maximum Price,696.295082
03-01-2011,Minimum price,398.7213115
03-01-2011,Modal price,564.8032787
04-01-2011,Maximum Price,651.2903226
04-01-2011,Minimum price,362.8709677
04-01-2011,Modal price,533.7258065
05-01-2011,Maximum Price,651.8548387
05-01-2011,Minimum price,346.7903226
05-01-2011,Modal price,532.2096774
06-01-2011,Maximum Price,787.2786885
06-01-2011,Minimum price,400
06-01-2011,Modal price,641.9508197
07-01-2011,Maximum Price,953.4193548
07-01-2011,Minimum price,529.1129032
07-01-2011,Modal price,795.2258065
08-01-2011,Maximum Price,1242.083333
08-01-2011,Minimum price,670.5
08-01-2011,Modal price,1036.2
09-01-2011,Maximum Price,1302.733333
09-01-2011,Minimum price,703.7
09-01-2011,Modal price,1081.266667
10-01-2011,Maximum Price,1175
10-01-2011,Minimum price,618.3214286
10-01-2011,Modal price,967.1964286
11-01-2011,Maximum Price,1122.982759
11-01-2011,Minimum price,559.6206897
11-01-2011,Modal price,879.7068966
12-01-2011,Maximum Price,834.2539683
12-01-2011,Minimum price,428.1111111
12-01-2011,Modal price,662.6984127
01-01-2012,Maximum Price,604.2903226
01-01-2012,Minimum price,312.983871
01-01-2012,Modal price,481.3225806
02-01-2012,Maximum Price,546.0847458
02-01-2012,Minimum price,309.6440678
02-01-2012,Modal price,448.2881356
03-01-2012,Maximum Price,568.9824561
03-01-2012,Minimum price,328
03-01-2012,Modal price,469.0701754
04-01-2012,Maximum Price,600.1666667
04-01-2012,Minimum price,345.2333333
04-01-2012,Modal price,500.65
05-01-2012,Maximum Price,583.6779661
05-01-2012,Minimum price,316.7118644
05-01-2012,Modal price,468.9152542
06-01-2012,Maximum Price,654.6896552
06-01-2012,Minimum price,345.0172414
06-01-2012,Modal price,529.1206897
07-01-2012,Maximum Price,759.852459
07-01-2012,Minimum price,427.6885246
07-01-2012,Modal price,634.6229508
08-01-2012,Maximum Price,870.45
08-01-2012,Minimum price,502.8333333
08-01-2012,Modal price,727.6333333
09-01-2012,Maximum Price,804.1129032
09-01-2012,Minimum price,426.3548387
09-01-2012,Modal price,646.8387097
10-01-2012,Maximum Price,1103.220339
10-01-2012,Minimum price,584.2033898
10-01-2012,Modal price,902.0677966
11-01-2012,Maximum Price,1447.183333
11-01-2012,Minimum price,647.7666667
11-01-2012,Modal price,1124.516667
12-01-2012,Maximum Price,1535.52459
12-01-2012,Minimum price,809.852459
12-01-2012,Modal price,1246.377049
01-01-2013,Maximum Price,1649.131148
01-01-2013,Minimum price,959.3278689
01-01-2013,Modal price,1375.836066
02-01-2013,Maximum Price,1685.84127
02-01-2013,Minimum price,1045.365079
02-01-2013,Modal price,1436.793651
03-01-2013,Maximum Price,1247.517241
03-01-2013,Minimum price,775.3965517
03-01-2013,Modal price,1058.034483
04-01-2013,Maximum Price,1139.816667
04-01-2013,Minimum price,714.85
04-01-2013,Modal price,963.15
05-01-2013,Maximum Price,1095.616667
05-01-2013,Minimum price,633.3333333
05-01-2013,Modal price,910.15
06-01-2013,Maximum Price,1588.190476
06-01-2013,Minimum price,929.7936508
06-01-2013,Modal price,1335.730159
07-01-2013,Maximum Price,2313.4375
07-01-2013,Minimum price,1433.734375
07-01-2013,Modal price,1978.625
08-01-2013,Maximum Price,3893.344262
08-01-2013,Minimum price,2348.508197
08-01-2013,Modal price,3368.327869
09-01-2013,Maximum Price,4687.444444
09-01-2013,Minimum price,2806.15873
09-01-2013,Modal price,3989.190476
10-01-2013,Maximum Price,4727.698413
10-01-2013,Minimum price,2330.206349
10-01-2013,Modal price,3758.269841
11-01-2013,Maximum Price,3841.42623
11-01-2013,Minimum price,1891.672131
11-01-2013,Modal price,3007.065574
12-01-2013,Maximum Price,2081.142857
12-01-2013,Minimum price,1081.126984
12-01-2013,Modal price,1636.888889
01-01-2014,Maximum Price,1318.57377
01-01-2014,Minimum price,752.9344262
01-01-2014,Modal price,1071.032787
