state,date,Modal price (Average)
JH,08-01-07,1130
JH,09-01-07,1581
JH,10-01-07,1692
JH,11-01-07,1265
JH,12-01-07,781
JH,01-01-08,514
JH,02-01-08,429
JH,03-01-08,483
JH,04-01-08,490
JH,05-01-08,439
JH,06-01-08,548
JH,07-01-08,741
JH,08-01-08,881
JH,09-01-08,983
JH,10-01-08,970
JH,11-01-08,1229
JH,12-01-08,1349
JH,01-01-09,1603
JH,02-01-09,1429
JH,03-01-09,1128
JH,04-01-09,747
JH,05-01-09,605
JH,06-01-09,826
JH,07-01-09,1001
JH,08-01-09,1001
JH,09-01-09,931
JH,10-01-09,1667
JH,11-01-09,1942
JH,12-01-09,1864
JH,01-01-10,1661
JH,02-01-10,1659
JH,03-01-10,1065
JH,04-01-10,688
JH,05-01-10,680
JH,06-01-10,692
JH,07-01-10,900
JH,08-01-10,920
JH,09-01-10,1158
JH,10-01-10,1669
JH,11-01-10,2430
JH,12-01-10,2880
JH,01-01-11,3446
JH,02-01-11,1375
JH,03-01-11,720
JH,04-01-11,500
JH,05-01-11,686
JH,06-01-11,689
JH,08-01-11,1167
JH,09-01-11,1400
JH,11-01-11,1100
JH,12-01-11,859
JH,01-01-12,796
JH,02-01-12,625
JH,03-01-12,682
JH,04-01-12,700
JH,05-01-12,700
JH,06-01-12,660
JH,07-01-12,686
JH,08-01-12,757
JH,09-01-12,845
JH,10-01-12,950
JH,11-01-12,1188
JH,12-01-12,1240
JH,01-01-13,1586
JH,02-01-13,2489
JH,03-01-13,1260
JH,04-01-13,1191
JH,05-01-13,1100
JH,06-01-13,1106
JH,07-01-13,1859
JH,08-01-13,3247
JH,09-01-13,3909
JH,10-01-13,4575
JH,11-01-13,3500
JH,12-01-13,1620
JH,01-01-14,1186
JH,02-01-14,1000
JH,03-01-14,993
JH,04-01-14,1000
JH,05-01-14,1008
