state,date,Modal price (Average)
GUJ,10-01-05,894.8
GUJ,11-01-05,898.5
GUJ,12-01-05,557.5
GUJ,01-01-06,302.8333333
GUJ,02-01-06,200
GUJ,03-01-06,187.6666667
GUJ,04-01-06,187.5
GUJ,05-01-06,173.1666667
GUJ,06-01-06,224
GUJ,07-01-06,246.8
GUJ,08-01-06,276.75
GUJ,09-01-06,280.2
GUJ,10-01-06,299.25
GUJ,11-01-06,358.3333333
GUJ,12-01-06,541.6666667
GUJ,01-01-07,767.8
GUJ,02-01-07,903.4
GUJ,03-01-07,635
GUJ,04-01-07,464.8
GUJ,05-01-07,433.25
GUJ,06-01-07,672
GUJ,07-01-07,772.2
GUJ,08-01-07,943.2
GUJ,09-01-07,1206.25
GUJ,10-01-07,1099
GUJ,11-01-07,759.6
GUJ,12-01-07,466.3333333
GUJ,01-01-08,292.8333333
GUJ,02-01-08,258.3333333
GUJ,03-01-08,287.8333333
GUJ,04-01-08,251.6666667
GUJ,05-01-08,217.1666667
GUJ,06-01-08,289.4
GUJ,07-01-08,434.2
GUJ,08-01-08,534.4
GUJ,09-01-08,503.2
GUJ,10-01-08,522.6
GUJ,11-01-08,698.4
GUJ,12-01-08,912.3333333
GUJ,01-01-09,1078.833333
GUJ,02-01-09,928.6666667
GUJ,03-01-09,719
GUJ,04-01-09,500.1666667
GUJ,05-01-09,438.5
GUJ,06-01-09,594.4
GUJ,07-01-09,584.2
GUJ,08-01-09,600.6
GUJ,09-01-09,602.4
GUJ,10-01-09,1153.166667
GUJ,11-01-09,1241
GUJ,12-01-09,1335.833333
GUJ,01-01-10,1189.833333
GUJ,02-01-10,1012.833333
GUJ,03-01-10,639.8333333
GUJ,04-01-10,551.8333333
GUJ,05-01-10,441.5
GUJ,06-01-10,508.2
GUJ,07-01-10,554.2
GUJ,08-01-10,706.4
GUJ,09-01-10,1119.8
GUJ,10-01-10,1313.4
GUJ,11-01-10,1688.5
GUJ,12-01-10,2390.666667
GUJ,01-01-11,2291.166667
GUJ,02-01-11,852
GUJ,03-01-11,461.5
GUJ,04-01-11,385.3333333
GUJ,05-01-11,396.8333333
GUJ,06-01-11,502.3333333
GUJ,07-01-11,611.4
GUJ,08-01-11,880.5
GUJ,09-01-11,897.5
GUJ,10-01-11,879.6666667
GUJ,11-01-11,708.8
