date,year,month,Average prices across India,value
10-01-2009,2009,Oct,Minimum price,887.5915493
10-01-2009,2009,Oct,Modal price,1350.915493
11-01-2009,2009,Nov,Maximum Price,1835.058824
11-01-2009,2009,Nov,Minimum price,891.6176471
11-01-2009,2009,Nov,Modal price,1446.911765
12-01-2009,2009,Dec,Maximum Price,1921.565217
12-01-2009,2009,Dec,Minimum price,815.4057971
12-01-2009,2009,Dec,Modal price,1411.971014
01-01-2010,2010,Jan,Maximum Price,1657.028986
01-01-2010,2010,Jan,Minimum price,811.2028986
01-01-2010,2010,Jan,Modal price,1316.782609
02-01-2010,2010,Feb,Maximum Price,1346.338235
02-01-2010,2010,Feb,Minimum price,730.1911765
02-01-2010,2010,Feb,Modal price,1105.985294
03-01-2010,2010,Mar,Maximum Price,860.0447761
03-01-2010,2010,Mar,Minimum price,481.0746269
03-01-2010,2010,Mar,Modal price,715.3134328
04-01-2010,2010,Apr,Maximum Price,711
04-01-2010,2010,Apr,Minimum price,404.2898551
04-01-2010,2010,Apr,Modal price,589.884058
05-01-2010,2010,May,Maximum Price,678.4285714
05-01-2010,2010,May,Minimum price,358.3142857
05-01-2010,2010,May,Modal price,547.8
06-01-2010,2010,Jun,Maximum Price,777.2173913
06-01-2010,2010,Jun,Minimum price,404.4927536
06-01-2010,2010,Jun,Modal price,626.6086957
07-01-2010,2010,Jul,Maximum Price,871.6119403
07-01-2010,2010,Jul,Minimum price,450.7313433
07-01-2010,2010,Jul,Modal price,705.7164179
08-01-2010,2010,Aug,Maximum Price,1033.015152
08-01-2010,2010,Aug,Minimum price,531.0757576
08-01-2010,2010,Aug,Modal price,841.6212121
09-01-2010,2010,Sep,Maximum Price,1500.014925
09-01-2010,2010,Sep,Minimum price,782.8955224
09-01-2010,2010,Sep,Modal price,1227.059701
10-01-2010,2010,Oct,Maximum Price,1685.140625
10-01-2010,2010,Oct,Minimum price,925.71875
10-01-2010,2010,Oct,Modal price,1400.234375
11-01-2010,2010,Nov,Maximum Price,2386.746479
11-01-2010,2010,Nov,Minimum price,1126.633803
11-01-2010,2010,Nov,Modal price,1803.746479
12-01-2010,2010,Dec,Maximum Price,3329.893939
12-01-2010,2010,Dec,Minimum price,1340.69697
12-01-2010,2010,Dec,Modal price,2403.606061
01-01-2011,2011,Jan,Maximum Price,3414.859375
01-01-2011,2011,Jan,Minimum price,1477.890625
01-01-2011,2011,Jan,Modal price,2565.171875
02-01-2011,2011,Feb,Maximum Price,1248.84375
02-01-2011,2011,Feb,Minimum price,693.40625
02-01-2011,2011,Feb,Modal price,1023.078125
03-01-2011,2011,Mar,Maximum Price,696.295082
03-01-2011,2011,Mar,Minimum price,398.7213115
03-01-2011,2011,Mar,Modal price,564.8032787
04-01-2011,2011,Apr,Maximum Price,651.2903226
04-01-2011,2011,Apr,Minimum price,362.8709677
04-01-2011,2011,Apr,Modal price,533.7258065
05-01-2011,2011,May,Maximum Price,651.8548387
05-01-2011,2011,May,Minimum price,346.7903226
05-01-2011,2011,May,Modal price,532.2096774
06-01-2011,2011,Jun,Maximum Price,787.2786885
06-01-2011,2011,Jun,Minimum price,400
06-01-2011,2011,Jun,Modal price,641.9508197
07-01-2011,2011,Jul,Maximum Price,953.4193548
07-01-2011,2011,Jul,Minimum price,529.1129032
07-01-2011,2011,Jul,Modal price,795.2258065
